OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price,latitude,longitude
9,KWIK TRIP #796,"I-94, EXIT 143 & US-12 & SR-21",Tomah,WI,420,3.28733333,44.0587262,-92.5278462
20,PILOT TRAVEL CENTER #1243,"I-8, EXIT 119 & SR-85",Gila Bend,AZ,930,3.899,26.6664753,-80.7168171
28,LITTLEFIELD EXPRESS #2,"I-540, EXIT 12 & US-71",Fort Smith,AR,645,3.399,35.3148086,-94.4016862
46,PETRO STOPPING CENTER #348,"I-85,  EXIT 22 & CR-138",Shorter,AL,720,3.154,35.1810309,-107.9038246
75,Good 2 Go #709,US-50,Montrose,CO,810,3.424,44.5017725,26.0650507
77,OASIS TRAVEL PLAZA,US-13,Laurel,DE,243,3.229,36.3659234,-77.6747121
121,PETRO STOPPING CENTER #306,"I-10, EXIT 200",Eloy,AZ,930,3.474,35.5845032,-78.1468483
127,CIRCLE K #4700095,US-41,Henderson,KY,340,3.609,30.1755249,-85.6243147
135,LOVES TRAVEL STOP #766,"I-80, EXIT 27",Atkinson,IL,290,3.589,41.5092474,-112.0537895
151,CUBBYS #2101,"I-80, EXIT 211 & SR-47",Gothenburg,NE,475,3.13233333,35.4243113,-83.3210658
159,PILOT TRAVEL CENTER #87,"I-10, EXIT 343",Jacksonville,FL,75,3.859,45.814934,-108.4177427
160,PILOT TRAVEL CENTERS #79,"I-12, EXIT 10 AT MILE 10",Denham Springs                          ,LA,600,3.23233333,31.4483685,-96.0788147
164,FLYING J TRAVEL PLAZA #650,"I-94, EXIT 15 B",Lake Station                            ,IN,365,3.809,44.4710928,-93.2946643
167,FLYING J TRAVEL PLAZA #653,RT 2 & I-65 EXIT 240,Hebron,IN,365,3.43566666,44.4710928,-93.2946643
184,SAPP BROS TRAVEL CENTER,"I-29 & I-80, EXIT 1B",Council Bluffs,IA,486,3.719,41.366671,-89.1521604
191,KUM & GO #0302,"I-35, EXIT 193 & SR 106",Clear Lake,IA,433,3.18566666,36.1329031,-95.9041032
195,PETRO STOPPING CENTER #311,"I-40 & I-55, EXIT 280",West Memphis,AR,435,3.36733333,35.5845032,-78.1468483
198,SINCLAIR,"I-76, EXIT 115",Atwood,CO,800,3.299,41.7791754,-107.1162507
199,PETRO STOPPING CENTER #366,"I-70, EXIT 252",Salina,KS,523,3.80566666,35.5845032,-78.1468483
203,PILOT TRAVEL CENTER #31,"I-80/94, EXIT 2",Highland,IN,365,3.829,30.7543348,-83.2734998
207,MARATHON,SR-32,Sardinia                                ,OH,300,3.56566666,44.8914036,-89.7748098
216,CIRCLE K #2721593,"I-10, EXIT 50",Ocean Springs,MS,715,3.41566666,30.1755249,-85.6243147
217,NORTH 9TH 24/7,"I-70, EXIT 252",Salina,KS,523,3.02566666,14.4371094,120.9961194
235,PILOT TRAVEL CENTERS #92,"I-75, EXIT 358",Ocala,FL,225,3.359,36.7223575,-84.1683036
243,SAVE,US-41 & SR-10,Lake Village,IN,399,3.179,45.1609039,17.4445188
248,Mardi Gras Truck Stop,"I-10, EXIT 236",New Orleans,LA,725,3.729,29.9826753,-90.0574941
250,GOLDEN OX TRUCK STOP,"I-70/US-40, EXIT 159 & US-183",Hays,KS,523,3.499,38.8960048,-99.317084
253,LOVES TRAVEL STOP #450,"I-40, EXIT 280 & I-55, EXIT 4",West Memphis,AR,435,3.32566666,41.5092474,-112.0537895
263,CASEYS #3956,I-94 EXIT 16,Bridgman,MI,465,3.559,38.1552716,-90.5498502
267,CORNER MARKET #117,SR-154 & SR-129,Dodge City,KS,357,3.399,33.8761095,35.5510882
269,PILOT TRAVEL CENTERS #24,"I-75, EXIT 15",Monroe                                  ,MI,325,3.299,33.5607721,-83.4783823
278,CARLISLE PLAZA,US-41,Carlisle,IN,510,3.499,38.9550726,-87.406219
281,CIRCLE K #4700065,"I-65, EXIT 76 & US-31",Taylorsville,IN,375,3.399,30.1755249,-85.6243147
289,LOVES TRAVEL STOP #173,"I-70, MM 209",Lawrence,KS,553,3.229,41.5092474,-112.0537895
292,PETES #56,US-169 & CR-5000,Cherryvale,KS,307,3.23233333,44.3090618,-79.1932633
293,LOVES TRAVEL STOP #176,"I-35, MILE MARKER 97",Matfield Green,KS,336,3.25566666,41.5092474,-112.0537895
304,FL Roberts,"I-91, EXIT 4",Springfield,MA,100,3.599,29.5916525,-81.6068759
